review_id,formation_id,formation_label,slot,rank,rohm_player_id,rohm_player_name,rohm_category,current_player_id,current_player_name,current_person_id,candidate_ids
r219,88,ネラッズーロ 1990-91,8,5,1235,ランフォード,PS,1112,ランフォード,449,449 773 1112 2378 2600 2940 883 679
r220,88,ネラッズーロ 1990-91,8,39,1850,ランフォード,PS,1112,ランフォード,449,449 773 1112 2378 2600 2940 883 679
r221,89,マドリード 2011-12,9,26,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r222,89,マドリード 2011-12,9,41,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r223,90,マンチェスターU 2007-08,4,36,2046,トレッリ,PS,1175,トレッリ,1175,1539 3113 1175 1958 2421
r224,90,マンチェスターU 2007-08,4,71,2476,トレッリ,PS,1175,トレッリ,1175,1539 3113 1175 1958 2421
r225,90,マンチェスターU 2007-08,10,9,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r226,90,マンチェスターU 2007-08,10,17,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r227,91,フランス 1982,9,11,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r228,91,フランス 1982,9,14,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r229,91,フランス 1982,11,3,2392,オーフェン,PS,1771,オーフェン,33,33 3172 1771 845
r230,91,フランス 1982,11,19,987,オーフェン,PS,1771,オーフェン,33,33 3172 1771 845
r231,92,ドイツ 1990,8,6,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r232,92,ドイツ 1990,8,18,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r233,92,ドイツ 1990,11,4,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r234,92,ドイツ 1990,11,12,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r235,93,ビアンコネーロ 1995-96,6,30,1239,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
